0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
0.79205394,0.2384873,-0.014785813,-0.15054952,0.29132324,0.122932754,0.47475633,0.10490576,0.33919367,0.60586023,0.74489444,0.07943377,0.34624943,0.38754162,0.28271815,0.40216643,0.41341045,0.501928,0.62032557,0.118300125,0.75609815,0.11557615,0.4539559,0.33384034,0.18977618,0.32409137,0.18329059,0.4300812,0.80924624,1.112584,0.15475601,0.23934075,0.43513104,0.83058405,-0.38064685,0.8050514,0.16532703,0.27861327,0.2257007,-0.056337547,0.23420158,0.8358712,0.8086104,0.09309297,0.3570105,0.79332316,0.39053738,0.23313977,0.4532522,0.055933382,0.3411126,0.41243592,0.35448584,0.2886697,0.14276332,0.6647913,0.2918272,0.5069835,0.73601764,0.3321729,0.15914945,0.84795,0.28224918,0.022041433,0.24278773,0.4115165,0.99294794,0.13533871,0.5152727,0.20481382,0.47813085,0.05951206,0.4569997,0.60306376,0.5406424,0.48190314,0.12048716,0.21033832,0.19257914,0.1760698,0.6073249,0.34020582,-0.0051597916,0.4013365
-0.2847881,0.069261335,0.35603115,0.22880346,-0.11298555,0.3828364,0.66236055,0.09018206,0.08068333,-0.024494419,0.14479469,0.22373298,0.28672388,-0.06116757,0.031603582,0.44177458,0.30827776,0.51458275,0.18860917,0.47549352,-0.14720194,0.06552463,0.025263773,0.21664305,-0.10018023,0.7457541,-0.30751595,0.27123532,0.07655726,-0.17869614,-0.106796965,0.23573051,0.3537888,0.039302006,-0.2120661,0.5116013,0.43532884,0.38453394,0.5373597,0.22307563,0.45991898,-0.45560762,-0.14721186,-0.27967256,0.1854853,0.295699,0.1460953,0.17994902,0.5596272,0.4438373,-0.26912427,0.1916387,0.5219296,0.31584936,-0.08722047,0.2462525,-0.026703082,0.031768367,0.036961917,0.19009703,-0.083716825,0.38680825,0.28987667,-0.023653451,0.6252283,0.16184992,0.024055798,0.36228347,0.7452304,-0.33901218,0.52662826,0.6506214,0.3292052,0.04984629,0.104644716,0.050550118,-0.2535985,0.21110304,0.39579278,0.10552416,0.1236984,0.30147636,0.10760057,-0.057901952
0.07529899,0.3484808,-0.31904146,0.31209472,-0.4696338,-0.006245313,0.093259476,-0.25115746,-0.28567696,0.55497634,-0.021851525,-0.12242626,-0.053532638,0.13357262,-0.14622803,0.17409854,0.25110346,0.19554421,-0.36480388,-0.028992275,0.2692725,-0.27731267,-0.15144007,0.52072966,0.05358942,0.3300767,0.14055878,0.22200632,0.2439089,0.20173718,-0.26729092,0.09987609,-0.037510626,-0.23296839,0.4005651,0.28594998,0.2285005,-0.014795434,0.28698337,-0.0026460756,0.070343465,0.33965117,0.2785702,-0.37573132,-0.021899147,-0.2643346,-0.121722095,0.42712367,0.13978939,-0.3038785,0.081871815,0.4013295,0.40735543,0.36420357,0.010659978,0.30234557,0.01640565,0.18917541,-0.1162721,0.017760783,-0.009792374,-0.20684418,0.025048468,-0.29028746,0.18584783,-0.23077318,-0.15674141,-0.0105741285,-0.21604465,-0.06509913,0.1623905,-0.1756478,-0.26523605,0.10170664,0.0027893167,-0.12796862,0.10985437,-0.065739065,0.016552934,-0.04681796,0.37259653,0.24358946,-0.19671711,-0.08727736
-0.3933529,0.117700726,-0.33945206,0.037131518,-0.053772524,0.42903596,0.025076926,0.538142,0.070652455,0.0998333,0.25458285,0.6185283,0.017889265,0.38033682,-0.012345446,0.030509077,0.094878964,0.061116412,-0.44586647,0.110595636,0.15734226,0.4326682,0.12189304,0.2591894,0.15901957,0.29669026,0.298433,0.13801673,0.46960926,0.4348905,0.16403142,-0.25134006,-0.16386595,-0.51578003,0.057592846,0.04700488,0.17582946,0.2845192,-0.12470908,-0.1529137,0.08292959,0.09244144,0.12655118,0.24677913,0.09572668,-0.1481778,0.22828686,-0.035056654,-0.29423517,-0.14693049,-0.06356704,0.06277765,0.20376918,0.12928024,-0.1248189,0.117852084,-0.74041694,-0.059862874,-0.2573404,-0.04511778,-0.03112528,0.22006002,0.2608568,0.0660575,-0.23991129,-0.018887728,0.011028957,-0.11356643,-0.26612556,0.0071722046,-0.19986789,0.09922285,-0.53669906,0.3978693,0.6831697,0.19143417,-0.13611747,-0.5221598,-0.026822004,-0.25521398,0.29228917,-0.18257332,-0.3742526,-0.052321803
0.6418765,0.11385287,0.1848494,0.042734522,0.23727958,0.14902644,0.31917825,0.19132523,-0.45883098,0.4888129,-0.027950224,-0.035014726,0.3574463,0.45766494,0.12335518,-0.12142177,0.122056186,0.2173386,0.21967326,0.8072727,0.09536293,-0.1464602,0.063767426,0.05750872,0.18897663,0.0124713555,0.6294605,-0.25887802,0.4300247,0.3629301,-0.0985967,0.34231722,0.25339118,-0.056335676,-0.09417874,0.3134359,0.1578324,0.022984654,-0.15982087,0.013791896,0.23371786,0.06721923,-0.069312766,-0.05762101,-0.4449759,0.13235219,0.5276324,0.019722484,0.16767554,0.3384173,0.5229382,0.4207218,-0.14045642,-0.1552949,0.3123875,-0.075056836,0.2348556,0.31250805,0.58152497,0.55935585,0.22071838,0.31710392,0.4636477,-0.15817699,0.45582956,0.12879837,0.64466786,0.6274941,0.16610336,-0.11980092,0.55865365,0.024201132,-0.01350433,-0.13832285,0.104013234,-0.077149935,0.63311803,0.021204434,0.29666844,0.7323598,0.14553219,0.103600785,0.0073649697,0.1604037
-0.12001636,0.20265116,0.14963965,0.51585644,0.103477105,-0.10645666,0.00064047053,-0.15989198,0.21888399,0.14923525,0.06489748,0.35780457,0.08695654,0.17046683,0.69153875,0.0060801487,0.20700115,-0.18644145,0.011158578,-0.029656937,0.20383486,0.65444225,-0.05082498,0.27311027,0.72485155,0.27057734,0.05129787,-0.68326616,0.22075076,0.2931966,0.21268146,-0.16418104,-0.07165105,0.20580164,-0.18064524,-0.094949804,0.32444865,-0.24177662,0.2730134,0.2703668,0.60916215,0.7095574,0.118094124,0.27697375,0.013539858,0.04517437,-0.16189913,0.04262076,0.12341602,-0.042441946,0.06465736,0.34518033,-0.2807615,0.32956055,0.38039377,0.43511257,0.13842672,0.7044057,0.2906794,0.10358184,0.38747692,0.2906652,0.14993063,-0.05078077,0.04258431,0.5241184,0.25053474,0.55837727,0.078638226,0.16601948,0.0033519361,0.12637559,0.5780283,0.1465567,0.107340075,0.22619455,0.1843728,-0.37367153,0.29539436,-0.2922737,0.17604499,0.17679013,0.4011977,0.40823892
-0.18377183,0.17435709,0.12436496,-0.42223632,0.38793766,0.14620487,0.15702079,0.24365124,-0.5868961,0.013473269,0.10361952,0.41017324,-0.21236844,0.15194482,0.4048321,0.10464453,-0.048667386,0.18547033,0.020672806,-0.25650248,0.01500592,0.4139204,-0.25517476,0.36288738,-0.029633597,0.19761632,-0.46879727,0.22241905,0.04720711,0.17806304,0.31654274,0.08744254,0.42980585,-0.20979005,0.21751688,0.08800789,0.5413585,-0.36541212,-0.20392917,0.19634977,0.41155776,0.02658705,0.12983173,-0.040819764,-0.046371263,-0.101933144,0.0940774,0.48034313,0.07967369,0.048293527,-0.084261365,-0.20590378,0.1411024,-0.11934009,0.10982001,-0.20628275,-0.111985184,0.009763788,0.33770812,0.12159956,0.36318746,0.5284439,-0.06251642,0.38243452,0.6559115,0.16216011,0.16368727,0.525127,0.16129838,-0.26471487,0.106255636,0.023052808,-0.17378883,-0.0990671,-0.053116377,-0.16171601,0.73250777,0.08735666,-0.25504628,0.035281043,0.05214545,0.10541357,-0.0001799129,0.2792315
-0.09107095,0.044420887,-0.3572918,-0.022355804,-0.08564405,0.19017594,0.056353264,-0.010677818,-0.11762328,-0.39911145,-0.31150922,-0.015191235,-0.085411854,0.29126263,0.1704063,-0.5293508,-0.18246795,0.15523541,-0.18157077,0.09710246,0.2663722,0.24932463,0.45001817,0.32934877,0.3184701,0.06649708,-0.2667625,0.123515666,-0.17074864,0.06615383,0.18879363,-0.108696066,0.023393005,-0.3785814,-0.75557065,-0.11691116,0.28689644,0.37612304,0.011986904,-0.07955063,0.06221032,-0.3485581,-0.103616826,0.22913817,0.544718,0.15451103,-0.35509437,-0.2907989,0.14672661,-0.017002426,-0.11784777,0.034317512,-0.15744719,0.20553346,0.043418184,0.022363745,0.20352744,0.034765366,0.23185174,0.33676028,-0.11324961,0.072763965,-0.39630678,-0.40484282,-0.41596663,-0.4846616,0.10510654,0.1617393,0.16091509,-0.2593096,0.33271468,0.24586578,0.091736,-0.07316018,-0.084092274,-0.22891572,0.08771711,-0.20793274,0.1303298,-0.18040566,-0.115556106,-0.15821363,0.2745967,0.24840552
-0.19978526,-0.27929258,-0.25001767,-0.22207922,-0.022476021,0.32698238,0.071578056,-0.15273787,-0.42831197,-0.36517674,-0.7613455,-0.6670241,-0.15430842,0.13585073,-0.6843327,0.07310553,-0.24701819,-0.5619791,0.060082197,-0.01611758,-0.13189183,-0.20588705,-0.04860243,-0.15596722,-0.7855937,-0.020223439,-0.57219654,0.6880395,0.13617384,0.141262,0.016144399,-0.12495039,-0.05395384,-0.45428285,-0.018215928,0.19510663,-0.2005042,-0.102919415,-0.26305923,-0.011763547,-0.22300808,0.12034969,0.231396,-0.117334545,-0.0606905,-0.277197,-0.56436783,-0.45871603,-0.11873958,-0.009505864,-0.3247348,-0.024819676,-0.07037938,-0.08182282,-0.5934987,0.086975515,0.08854066,-0.05867943,-0.51684976,-0.14308284,0.28054482,-0.38535234,-0.026263691,0.2690986,0.15262172,0.038660273,-0.14691727,-0.2128108,-0.24525699,0.29675367,0.06986199,0.027023707,-0.92566067,-0.26832595,-0.043004762,-0.41388264,0.058355674,-0.7534127,-0.25984275,-0.057159305,-0.2754833,-0.28742847,-0.19951095,0.2589056
0.06798317,-0.3660641,-0.29332468,-0.3242986,0.029181153,0.1853428,-0.13574806,-0.19069633,-0.4947048,-0.731364,-0.16654763,-0.31644043,-0.3443171,-0.7571188,0.0063002333,0.09009384,-0.11487144,0.42596665,-0.01542997,-0.14288938,0.015878845,0.12746713,-0.074178115,0.2339765,0.03624069,-0.43606287,0.20999843,-0.185679,-0.102882266,0.10209737,0.019427124,-0.57190865,0.014862195,0.13078505,-0.10618112,0.17326024,-0.022895934,-0.23722476,-0.44359398,0.02969608,-0.084049866,-0.21601745,-0.33232626,-0.33335435,-0.1301978,-0.23313303,0.32599783,-0.69132596,-0.47164792,-0.6150018,-0.30794364,0.2481515,-0.5152292,-0.096311726,0.3941006,0.013931472,-0.028401656,-0.01853066,0.15833032,-0.46451393,0.11136221,-0.28045878,-0.33994216,0.11096613,-0.5952811,-0.29067943,-0.5839429,0.29596978,0.015470095,-0.37598118,-0.3131465,-0.4501393,-0.60702145,-0.33822176,-0.5249613,0.115047485,-0.12325443,0.12913579,0.54524577,-0.09245258,-0.4572121,0.61556375,0.3532183,-0.23152754
