0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0.31710514,0.31686482,0.31745583,0.3171066,0.31761023,0.31784445,0.31817317,0.31780422,0.317539,0.31721824,0.31746566,0.31762284,0.31761092,0.31737876,0.31735766,0.31786668,0.3173018,0.31751382,0.31721058,0.31697777,0.31779405
0.3171051,0.31687158,0.3174591,0.31710887,0.31761435,0.31785032,0.31817657,0.31780833,0.3175398,0.31722137,0.31746742,0.3176226,0.3176171,0.3173827,0.3173574,0.31786925,0.31730244,0.31751627,0.3172093,0.31698316,0.31780285
0.31710723,0.3168596,0.31745434,0.31710047,0.31760526,0.317842,0.31816804,0.3178036,0.31753582,0.31721294,0.31746298,0.31761745,0.3176099,0.31737655,0.31735745,0.31786624,0.31730074,0.3175062,0.31720933,0.31698057,0.3177927
0.31710592,0.31686735,0.31745726,0.31711173,0.31761158,0.3178444,0.31817532,0.3178057,0.3175373,0.31721747,0.31746563,0.31762213,0.31761083,0.31738093,0.3173578,0.3178689,0.31729853,0.31751448,0.3172082,0.31698117,0.3178016
0.31710923,0.3168684,0.3174584,0.3171078,0.31760842,0.31784552,0.31817424,0.31780463,0.3175382,0.31721634,0.31746218,0.31762546,0.31760943,0.3173814,0.3173515,0.31786746,0.31730294,0.31751418,0.31720763,0.31698072,0.3177989
0.31710342,0.3168694,0.31746304,0.31711364,0.3176179,0.317852,0.31818455,0.3178097,0.31754112,0.3172229,0.31747425,0.31762892,0.3176133,0.31738102,0.31736186,0.31787634,0.31730193,0.31751958,0.3172078,0.3169803,0.31780237
0.3171386,0.31686985,0.31739703,0.31708974,0.3175807,0.31781423,0.3181293,0.31778723,0.31750414,0.3171999,0.31742227,0.31757918,0.31758833,0.31736127,0.31732884,0.31784868,0.31731766,0.31749696,0.31718546,0.3169825,0.31778356
0.31710294,0.31687045,0.31745997,0.31710643,0.31761163,0.31784737,0.3181767,0.3178071,0.31754026,0.3172179,0.3174636,0.31762356,0.31761435,0.31738028,0.31735736,0.31786948,0.31730157,0.31751287,0.31720874,0.31698263,0.31780007
0.31710613,0.31686583,0.3174595,0.3171056,0.31760934,0.3178463,0.31817564,0.31780708,0.31754184,0.3172186,0.31746328,0.31762654,0.3176136,0.31738165,0.31735787,0.31787097,0.31730053,0.31751335,0.31720927,0.31698155,0.317799
0.31710565,0.31686428,0.3174568,0.31710213,0.3176148,0.3178458,0.31817514,0.3178062,0.31754,0.3172198,0.31747037,0.31762108,0.31761226,0.31738207,0.31735742,0.31786805,0.3172973,0.31751585,0.31721175,0.31698018,0.31779417
0.31710497,0.31686425,0.31745768,0.3171041,0.31760815,0.317846,0.31817263,0.31780714,0.3175411,0.31721857,0.31746435,0.31762338,0.31761312,0.31737947,0.31735513,0.31786752,0.31730282,0.31751317,0.31720972,0.31697986,0.31779486
0.31710783,0.3168558,0.31745714,0.31710526,0.31761009,0.31784248,0.3181653,0.31782168,0.3175438,0.31723535,0.31746665,0.31763604,0.31762227,0.3173782,0.31736052,0.31788617,0.31730062,0.31751642,0.31720278,0.31698877,0.31782237
0.31710443,0.31686968,0.31745398,0.31710193,0.31760967,0.31784767,0.31817052,0.3178035,0.3175372,0.31721646,0.31746465,0.31761765,0.31760818,0.31737995,0.3173515,0.3178658,0.31729996,0.3175104,0.31720874,0.31698215,0.31779462
