Region_Level_1,Latitude,Longitude
Viborg Kommune,56.45089400000001,9.382773996723492
Assens Kommune,55.27662735,10.06579862255398
Rebild Kommune,56.81122499999999,10.0025244208815
Mariagerfjord Kommune,56.7056461,9.920066346120262
Stevns Kommune,55.33128645,12.34394176136016
Sønderborg Kommune,54.9680815,9.931922743249796
Solrød Kommune,55.53752785,12.1696167523719
Frederikshavn Kommune,57.46118845,10.45419955466888
Guldborgsund Kommune,54.77312345,11.6967660106604
Gentofte Kommune,55.75064455,12.54604223446713
Holstebro Kommune,56.3966571,8.70986214704891
Herning Kommune,56.1466304,8.860822154418688
Albertslund Kommune,55.67654055,12.35249743400834
Furesø Kommune,55.80184975,12.37414935067936
Egedal Kommune,55.76121310000001,12.21505457863382
Hillerød Kommune,55.92394109999999,12.2313306831747
Jammerbugt Kommune,57.18123919999999,9.66234724891719
Langeland Kommune,54.94323035,10.77750839095556
Vejle Kommune,55.76169025,9.353391936956378
Middelfart Kommune,55.4470245,9.93698091984884
Eisenstadt-Umgebung,47.8761008,16.4745908
Turku,60.4517531,22.2670522
Brøndby Kommune,55.644111,12.4217135
Rovaniemi,66.4976214,25.7192101
Ylivieska,64.0728903,24.5327326
Haapavesi-Siikalatva,64.1378737,25.3658176
Oulunkaari,65.1122683,27.09913131890699
Oulu,65.0118734,25.4716809
Kokkola,63.8391421,23.1336845
Sydösterbotten,62.34484395,21.18039714754756
Vaasa,63.08182094999999,21.4798125222968
Järviseutu,63.0864659,23.89962367501428
Kuusiokunnat,62.6420896,23.85759791874546
Seinäjoki,62.7954104,22.8442015
Suupohja,62.3113764,22.16733910933412
Saarijärvi-Viitasaari,63.06637335,25.28304389565545
Jämsä,61.8639814,25.1845044
Keuruu,62.2579819,24.7083599
Jyväskylä,62.2393431,25.7458236
Kehys-Kainuu,64.6119362,29.16980385051708
Kemi-Tornio,65.7333404,24.5666495
Keski-Karjala,62.06979975,29.98254030297034
Itä-Lappi,62.0362944,28.80282718285625
Nivala-Haapajärvi,63.7514785,25.3134586
Raahe,64.6795905,24.4709593
Jakobstadsregionen,63.64583255,22.56438706185884
Sisä-Savo,61.7351868,24.4671486
Varkaus,62.3176377,27.8681227
Koillis-Savo,63.1672077,28.52620567491658
Kouvola,60.8701996,26.7018042
Ylä-Pirkanmaa,62.1024733,24.12282885417426
Lounais-Pirkanmaa,61.36273844999999,22.91388739472919
Etelä-Pirkanmaa,61.732099,23.9135266
Forssa,60.8155736,23.629833
Riihimäki,60.7390089,24.7728148
Loviisa,60.4564226,26.2271433
Raaseporin,59.9079485,23.54674575967236
Tunturi-Lappi,68.1241867,24.61054114706588
Pielisen Karjala,63.441373,29.89385576955555
Joensuu,62.6006257,29.7584591
Høje-Taastrup Kommune,55.65642635,12.2418727513561
Salo,-31.7613365,-71.3187697
Porvoo,60.3953913,25.6604862
Helsinki,60.1674881,24.9427473
Fanø Kommune,55.4064775,8.424600204286886
Lyngby-Tårbæk Kommune,55.7718649,12.5051413
Herlev Kommune,55.7337193,12.42945164760848
Skanderborg Kommune,56.08543625,9.850782986274666
Glostrup Kommune,55.6835672,12.4128011280619
Frederikssund Kommune,55.83480805,12.13396721994294
Vallensbæk Kommune,55.632181,12.37119799171908
Hørsholm Kommune,55.8828853,12.47523565311488
Ringsted Kommune,55.457927,11.81408300486716
Samsø Kommune,55.88358435,10.61139503533816
Halsnæs Kommune,55.95464775,11.89767436456652
Rødovre Kommune,55.69020045,12.44804510765195
Tårnby Kommune,55.6093765,12.5942740849782
Åboland-Turunmaa,59.98267075,21.96860470993968
Kolding Kommune,55.4689391,9.468488704802578
Kuopio,62.8241424,27.59456148448898
Vakka-Suomi,60.78208175,21.22917323004046
Ylä-Savo,63.51572995,27.14193723843044
Pieksämäki,62.300466,27.1639512
Savonlinna,61.8689933,28.8797178
Mikkeli,61.6877956,27.2726569
Imatra,61.1923342,28.7716996
Lappeenranta,61.0583713,28.1862742
